No.,Time,Source,Destination,Protocol,Tag,Length,Info
7369,04:03.5,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22447 Win=83 Len=0 TSval=2194566574 TSecr=552927578
7370,04:03.5,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24619 Ack=1 Win=85 Len=66 TSval=2221153602 TSecr=1777872469"
7371,04:03.5,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24685 Win=83 Len=0 TSval=1777873551 TSecr=2221153602
7372,04:03.6,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=18033 Ack=1 Win=85 Len=46 TSval=1181730658 TSecr=2456768061"
7373,04:03.6,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18079 Win=83 Len=0 TSval=2456769094 TSecr=1181730658
7374,04:04.0,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12331 Ack=1 Win=85 Len=30 TSval=1776658965 TSecr=3277633101"
7375,04:04.0,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12361 Win=83 Len=0 TSval=3277634166 TSecr=1776658965
7376,04:04.5,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=18079 Ack=1 Win=85 Len=46 TSval=2091810079 TSecr=2651325975"
7377,04:04.5,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18125 Win=83 Len=0 TSval=2651327059 TSecr=2091810079
7378,04:04.5,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22447 Ack=1 Win=85 Len=58 TSval=552928642 TSecr=2194566574"
7379,04:04.5,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22505 Win=83 Len=0 TSval=2194567638 TSecr=552928642
7380,04:04.6,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24685 Ack=1 Win=85 Len=66 TSval=2221154645 TSecr=1777873551"
7381,04:04.6,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24751 Win=83 Len=0 TSval=1777874594 TSecr=2221154645
7382,04:04.6,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18125 Ack=1 Win=85 Len=46 TSval=3351241206 TSecr=2774116913"
7383,04:04.6,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18171 Win=83 Len=0 TSval=2774118138 TSecr=3351241206
7384,04:04.6,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=18079 Ack=1 Win=85 Len=46 TSval=1181731726 TSecr=2456769094"
7385,04:04.6,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18125 Win=83 Len=0 TSval=2456770162 TSecr=1181731726
7386,04:05.0,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12361 Ack=1 Win=85 Len=30 TSval=1776659975 TSecr=3277634166"
7387,04:05.0,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12391 Win=83 Len=0 TSval=3277635176 TSecr=1776659975
7388,04:05.6,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22505 Ack=1 Win=85 Len=58 TSval=552929680 TSecr=2194567638"
7389,04:05.6,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22563 Win=83 Len=0 TSval=2194568676 TSecr=552929680
7390,04:05.7,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=18125 Ack=1 Win=85 Len=46 TSval=2091811221 TSecr=2651327059"
7391,04:05.7,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18171 Win=83 Len=0 TSval=2651328200 TSecr=2091811221
7392,04:05.7,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24751 Ack=1 Win=85 Len=66 TSval=2221155736 TSecr=1777874594"
7393,04:05.7,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24817 Win=83 Len=0 TSval=1777875685 TSecr=2221155736
7394,04:05.7,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18171 Ack=1 Win=85 Len=46 TSval=3351242288 TSecr=2774118138"
7395,04:05.7,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18217 Win=83 Len=0 TSval=2774119220 TSecr=3351242288
7396,04:05.7,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=18125 Ack=1 Win=85 Len=46 TSval=1181732836 TSecr=2456770162"
7397,04:05.7,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18171 Win=83 Len=0 TSval=2456771272 TSecr=1181732836
7398,04:05.9,fe80::200:ff:fe00:b,ff02::2,ICMPv6,3,70,Router Solicitation from 00:00:00:00:00:0b
7399,04:05.9,fe80::200:ff:fe00:6,ff02::2,ICMPv6,3,70,Router Solicitation from 00:00:00:00:00:06
7400,04:06.1,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12391 Ack=1 Win=85 Len=30 TSval=1776661033 TSecr=3277635176"
7401,04:06.1,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12421 Win=83 Len=0 TSval=3277636234 TSecr=1776661033
7402,04:06.6,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22563 Ack=1 Win=85 Len=58 TSval=552930746 TSecr=2194568676"
7403,04:06.6,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22621 Win=83 Len=0 TSval=2194569742 TSecr=552930746
7404,04:06.7,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18217 Ack=1 Win=85 Len=46 TSval=3351243365 TSecr=2774119220"
7405,04:06.7,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18263 Win=83 Len=0 TSval=2774120297 TSecr=3351243365
7406,04:06.8,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=18171 Ack=1 Win=85 Len=46 TSval=2091812321 TSecr=2651328200"
7407,04:06.8,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18217 Win=83 Len=0 TSval=2651329300 TSecr=2091812321
7408,04:06.8,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=18171 Ack=1 Win=85 Len=46 TSval=1181733944 TSecr=2456771272"
7409,04:06.8,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18217 Win=83 Len=0 TSval=2456772380 TSecr=1181733944
7410,04:06.9,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24817 Ack=1 Win=85 Len=66 TSval=2221157021 TSecr=1777875685"
7411,04:06.9,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24883 Win=83 Len=0 TSval=1777876970 TSecr=2221157021
7412,04:07.1,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12421 Ack=1 Win=85 Len=30 TSval=1776662089 TSecr=3277636234"
7413,04:07.1,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12451 Win=83 Len=0 TSval=3277637290 TSecr=1776662089
7414,04:07.7,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22621 Ack=1 Win=85 Len=58 TSval=552931774 TSecr=2194569742"
7415,04:07.7,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22679 Win=83 Len=0 TSval=2194570770 TSecr=552931774
7416,04:07.9,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18263 Ack=1 Win=85 Len=46 TSval=3351244498 TSecr=2774120297"
7417,04:07.9,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18309 Win=83 Len=0 TSval=2774121430 TSecr=3351244498
7418,04:07.9,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=18217 Ack=1 Win=85 Len=46 TSval=2091813440 TSecr=2651329300"
7419,04:07.9,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18263 Win=83 Len=0 TSval=2651330419 TSecr=2091813440
7420,04:07.9,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=18217 Ack=1 Win=85 Len=46 TSval=1181735018 TSecr=2456772380"
7421,04:07.9,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18263 Win=83 Len=0 TSval=2456773454 TSecr=1181735018
7422,04:08.0,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24883 Ack=1 Win=85 Len=66 TSval=2221158116 TSecr=1777876970"
7423,04:08.0,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24949 Win=83 Len=0 TSval=1777878065 TSecr=2221158116
